paper,metric,scale_type,scale_value,run,ms,status,message,model_type,candidate_count,exact_match_count
b31,encryption,keyword_count,500,1,5.817,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,encryption,keyword_count,500,2,6.477,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,encryption,keyword_count,500,3,6.622,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,encryption,keyword_count,500,4,6.059,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,encryption,keyword_count,500,5,6.060,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,10,1,0.100,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,10,2,0.071,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,10,3,0.070,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,10,4,0.081,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,10,5,0.071,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,50,1,0.426,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,50,2,0.435,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,50,3,0.453,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,50,4,0.360,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,50,5,0.352,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,300,1,2.248,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,300,2,2.448,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,300,3,2.809,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,300,4,2.273,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,300,5,2.757,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,500,1,4.160,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,500,2,4.291,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,500,3,4.180,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,500,4,4.144,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b31,decryption,keyword_count,500,5,4.175,ok,primitive_surrogate: CP-ABE/pairing-style modular exponentiation surrogate,primitive_surrogate,,
b32,search,keyword_pool_size,10,1,0.352,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,1000,1000
b32,search,keyword_pool_size,10,2,0.264,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,1000,1000
b32,search,keyword_pool_size,10,3,0.258,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,1000,1000
b32,search,keyword_pool_size,10,4,0.270,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,1000,1000
b32,search,keyword_pool_size,10,5,0.288,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,1000,1000
b32,search,keyword_pool_size,300,1,0.124,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,363,363
b32,search,keyword_pool_size,300,2,0.165,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,521,521
b32,search,keyword_pool_size,300,3,0.176,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,533,533
b32,search,keyword_pool_size,300,4,0.130,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,415,415
b32,search,keyword_pool_size,300,5,0.127,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,372,372
b32,search,keyword_pool_size,500,1,0.121,ok,primitive_surrogate: puncturable lattice search/trapdoor model with per-keyword token work,primitive_surrogate,272,272
